일자,종가,전일대비,등락률,거래량,대차체결량,대차상환량,대차잔고,대차잔고금액
2026/06/26,2700000,217000,-7.44,11790316,988045,520338,11874847,31741466
2026/06/25,2939000,359000,+13.91,11611902,385588,134672,11407140,33274627
2026/06/24,2653000,98000,+3.84,13638766,707126,181794,11156224,28783058
2026/06/23,2569000,350000,-11.99,14926616,555770,699692,10630892,27161929
2026/06/22,2959000,195000,+7.05,9310119,566873,440943,10774814,31451682
2026/06/19,2755000,70000,+2.61,12451531,64714,239734,10648884,29433515
2026/06/18,2699000,178000,+7.06,10003596,88028,415034,10823904,29062182
2026/06/17,2502000,120000,+5.04,7738593,20929,651220,11150910,28111444
2026/06/16,2418000,130000,+5.68,7376318,138522,406231,11781201,28062821
2026/06/15,2320000,170000,+7.91,6447007,1076633,522077,12048910,27567906
2026/06/12,2162000,61000,+2.90,9508078,237987,213442,11494354,24712861
2026/06/11,2138000,90000,+4.39,10222548,262693,249208,11469809,24098069
2026/06/10,2015000,200000,-9.03,8284440,214434,389525,11456324,23462552
2026/06/09,2236000,325000,+17.01,9858883,899111,501954,11631415,25763584
2026/06/08,1978000,92000,-4.44,12564730,143688,341399,11234258,21468667
2026/06/05,2072000,226000,-9.83,10053111,1167508,402449,11431969,23664176
2026/06/04,2206000,154000,-6.53,6295315,322689,195279,10666910,24512559
2026/06/02,2324000,39000,-1.65,9353674,295142,292060,10539500,24873220
2026/06/01,2378000,45000,+1.93,9321336,286284,245681,10536418,24897556
2026/05/29,2350000,61000,+2.66,12279503,202684,469700,10495815,24486736
2026/05/28,2253000,10000,+0.45,10642198,338749,906317,10762831,24636120
2026/05/27,2317000,265000,+12.91,13464180,100623,454596,11330399,25414085
2026/05/26,2090000,149000,+7.68,8853284,271514,476918,11684372,23976331
2026/05/22,1941000,1000,+0.05,5274428,248752,294719,11889776,23078055
2026/05/21,1903000,158000,+9.05,9773725,661339,532473,11935743,23155341
2026/05/20,1786000,41000,+2.35,9147938,166462,161203,11806877,20603000
2026/05/19,1719000,121000,-6.58,7805248,169546,189965,11801618,20593823
2026/05/18,1840000,21000,+1.15,10771377,410037,149582,11822037,21752548
2026/05/15,1848000,122000,-6.19,13151904,188149,273958,11561582,21030518
2026/05/14,1964000,12000,-0.61,9925086,72122,209263,11647391,22945360
2026/05/13,1992000,157000,+8.56,12803574,255070,454380,11784532,23286235
2026/05/12,1813000,67000,-3.56,15122207,86835,299843,11983842,21990350
2026/05/11,1908000,222000,+13.17,12911808,85919,735717,12196850,22930078
2026/05/08,1681000,27000,+1.63,7331920,734746,976948,12846648,21659449
2026/05/07,1646000,45000,+2.81,9908765,89572,1302571,13088850,21648958
2026/05/06,1650000,203000,+14.03,11099704,130620,794811,14301849,22897260
2026/05/04,1438000,152000,+11.82,10120675,219587,322345,14966040,21655860
2026/04/30,1294000,1000,+0.08,5358544,225107,831420,15068798,19378474
2026/04/29,1300000,0,0,5168665,465813,629237,15675111,20267919
2026/04/28,1288000,4000,-0.31,6021369,331769,175294,15838535,20590096
2026/04/27,1301000,79000,+6.46,8461155,554160,255993,15682060,20261222
2026/04/24,1227000,2000,+0.16,5388797,205159,258422,15383893,18799117
2026/04/23,1219000,4000,-0.33,9854593,448049,268346,15437156,18910516
2026/04/22,1220000,4000,-0.33,6004723,319347,130549,15257453,18659865
2026/04/21,1247000,81000,+6.95,6684824,548925,162988,15068655,18444034
2026/04/20,1170000,42000,+3.72,6256274,380720,425094,14682718,17120049
2026/04/17,1144000,11000,-0.95,5607937,208226,1460471,14727092,16612160
2026/04/16,1148000,12000,+1.06,5211225,447882,267902,15979337,18456134
2026/04/15,1138000,35000,+3.17,7524143,191560,219304,15799357,17948070
2026/04/14,1117000,77000,+7.40,8897661,102747,385712,15827101,17457292
2026/04/13,1032000,5000,+0.49,5242855,357076,597835,16110066,16754469
2026/04/10,1026000,28000,+2.81,5369802,215375,378089,16350825,16792297
2026/04/09,995000,38000,-3.68,7998663,322196,593723,16513539,16480512
2026/04/08,1043000,127000,+13.86,11906741,64100,181307,16785066,17338973
2026/04/07,895000,9000,+1.02,6396306,92631,289278,16902273,15482482
2026/04/06,900000,24000,+2.74,6090287,255924,336369,17098920,15149643
2026/04/03,875000,45000,+5.42,4904437,746710,96014,17179365,15049124
2026/04/02,823000,70000,-7.84,9501556,408611,470158,16528669,13718795
2026/04/01,890000,83000,+10.29,9709306,612767,883974,16579116,14805151
2026/03/31,806000,67000,-7.67,11832260,357194,265381,16850323,13598211
2026/03/30,877000,45000,-4.88,7526085,1720622,192446,16758510,14630179
2026/03/27,906000,27000,-2.89,7669917,588689,338025,15230334,14042368
2026/03/26,935000,60000,-6.03,8093472,307161,213605,14975670,13972300
2026/03/25,1004000,18000,+1.83,7425847,658332,423518,14882114,14807703
2026/03/24,987000,54000,+5.79,7418975,861736,1347791,14647300,14442238
2026/03/23,933000,74000,-7.35,7271704,687762,314263,15133355,14119420
2026/03/20,1006000,7000,-0.69,5518536,751791,652583,14759856,14863175
2026/03/19,1001000,55000,-5.21,6412761,145390,592280,14660648,14851236
2026/03/18,1060000,90000,+9.28,6986660,257660,362504,15107538,15953560
2026/03/17,976000,2000,+0.21,6313951,821567,898428,15212382,14756011
2026/03/16,977000,67000,+7.36,6364678,232514,388480,15289243,14891723
2026/03/13,915000,15000,-1.61,5490815,713425,478423,15445209,14055140
2026/03/12,935000,20000,-2.09,5511513,338427,147422,15210207,14145493
2026/03/11,950000,12000,+1.28,6800772,937290,931000,15019202,14343338
2026/03/10,939000,103000,+12.32,8850054,660628,94243,15012912,14082111
2026/03/09,831000,93000,-10.06,11249631,1358079,903319,14446527,12077297
2026/03/06,914000,27000,-2.87,6166431,2219198,1660572,13991767,12928393
2026/03/05,953000,104000,+12.25,10992400,1315777,1211228,13433141,12640586
2026/03/04,900000,39000,-4.15,16575182,3091108,2516923,13328592,11315975
2026/03/03,897000,164000,-15.46,12578214,558562,338731,12754407,11976388
2026/02/27,1063000,36000,-3.28,9846097,65664,1528318,12534576,13299185
2026/02/26,1109000,91000,+8.94,8066514,104443,321447,13997230,15382956
2026/02/25,1031000,26000,+2.59,5725607,160242,1485765,14214234,14470090
2026/02/24,1009000,58000,+6.10,6494669,423565,445436,15539757,15617456
2026/02/23,956000,7000,+0.74,5821098,293925,720442,15561628,14799108
2026/02/20,943000,49000,+5.48,8437331,79187,43526,15988145,15172750
2026/02/19,890000,10000,+1.14,5319993,375871,229155,15952484,14261521
2026/02/13,886000,2000,-0.23,5142348,145783,310954,15805768,13909076
2026/02/12,894000,34000,+3.95,6734663,154700,76495,15970939,14182194
2026/02/11,860000,16000,-1.83,4417213,320723,344539,15892734,13667751
