일자,공매도 수량_거래량_전체,공매도 수량_거래량_업틱룰적용,공매도 수량_거래량_업틱룰예외,공매도 수량_순보유잔고수량,공매도 금액_거래대금_전체,공매도 금액_거래대금_업틱룰적용,공매도 금액_거래대금_업틱룰예외,공매도 금액_순보유잔고금액
2026-06-26,513204,466694,46510,0,1.39E+12,1.27E+12,1.24E+11,0
2026-06-25,220771,179792,40979,0,6.20E+11,5.03E+11,1.17E+11,0
2026-06-24,561717,531429,30288,5741,1.45E+12,1.37E+12,79352352500,14811780000
2026-06-23,430816,403456,27360,5741,1.16E+12,1.09E+12,72791239500,14668255000
2026-06-22,76693,63146,13547,5741,2.22E+11,1.83E+11,39299279500,16757979000
2026-06-19,310001,256138,53863,5741,8.54E+11,7.02E+11,1.51E+11,15868124000
2026-06-18,199138,151741,47397,8150,5.27E+11,4.02E+11,1.25E+11,21882750000
2026-06-17,64421,45288,19133,8150,1.57E+11,1.10E+11,47318444500,20546150000
2026-06-16,106043,90501,15542,8150,2.51E+11,2.14E+11,36826305500,19413300000
2026-06-15,160251,148175,12076,22800,3.67E+11,3.40E+11,27653633500,52166400000
2026-06-12,315010,214892,100118,2200,7.16E+11,4.89E+11,2.27E+11,4730000000
2026-06-11,247393,237161,10232,1000,5.10E+11,4.89E+11,21243671000,2101000000
2026-06-10,197384,193222,4162,1000,4.16E+11,4.07E+11,8782854000,2048000000
2026-06-09,401172,377034,24138,1000,8.57E+11,8.05E+11,51769030000,2215000000
2026-06-08,282740,259110,23630,1000,5.67E+11,5.19E+11,47174206500,1911000000
2026-06-05,311779,269593,42186,1000,6.61E+11,5.72E+11,89012542500,2070000000
2026-06-04,265857,235448,30409,1000,6.09E+11,5.39E+11,69832058000,2298000000
2026-06-02,241902,216020,25882,1800,5.64E+11,5.04E+11,60259582000,4248000000
2026-06-01,157060,106347,50713,1840,3.64E+11,2.45E+11,1.19E+11,4347920000
2026-05-29,590992,507120,83872,1000,1.38E+12,1.18E+12,1.96E+11,2333000000
2026-05-28,347833,299945,47888,800,7.63E+11,6.57E+11,1.06E+11,1831200000
2026-05-27,166488,36226,130262,8114,3.75E+11,81786958000,2.93E+11,18199702000
2026-05-26,288463,228767,59696,37736,5.86E+11,4.65E+11,1.21E+11,77434272000
