결제일,종가,전일대비,등락률,거래량,신규,상환,신규상환대비,신용잔고,잔고율,신용금액,공여율
2026/06/26,2700000,217000,-7.44,11790316,760050,636871,123179,3252976,0.45,4847928,10.14
2026/06/25,2917000,337000,+13.06,6790853,638964,657887,18923,3134812,0.43,4595606,7.93
2026/06/24,2580000,25000,+0.98,7487916,434885,453030,18145,3158877,0.43,4446260,8.38
2026/06/23,2555000,364000,-12.47,8050335,510319,588966,78647,3179482,0.44,4409263,6.81
2026/06/22,2919000,155000,+5.61,5179795,406398,441300,34902,3264968,0.45,4453607,6.99
2026/06/19,2764000,79000,+2.94,7478195,495059,432464,62595,3303641,0.45,4448737,12.43
2026/06/18,2685000,164000,+6.51,5808765,388629,449060,60431,3243816,0.44,4332184,10.65
2026/06/17,2521000,139000,+5.84,3980010,314109,287894,26215,3307809,0.45,4417937,8.10
2026/06/16,2382000,94000,+4.11,3644469,468893,436281,32612,3283247,0.45,4383759,8.86
2026/06/15,2288000,138000,+6.42,3872910,513888,454470,59418,3253790,0.45,4274823,7.75
2026/06/12,2150000,49000,+2.33,5286416,494481,371045,123436,3199732,0.44,4201024,10.02
2026/06/11,2101000,53000,+2.59,6625775,537875,530594,7281,3078377,0.42,3989746,9.14
2026/06/10,2048000,167000,-7.54,4928269,568108,557815,10293,3074970,0.42,3955794,8.58
2026/06/09,2215000,304000,+15.91,5878039,393882,270818,123064,3071877,0.42,3971855,6.80
2026/06/08,1911000,159000,-7.68,6610833,194700,210360,15660,2951553,0.41,3730983,4.94
2026/06/05,2070000,228000,-9.92,5778751,391205,351121,40084,2968579,0.41,3718330,6.70
2026/06/04,2298000,62000,-2.63,3941067,387717,369269,18448,2930741,0.40,3599257,6.91
2026/06/02,2360000,3000,-0.13,5837216,329068,394235,65167,2917249,0.40,3506584,3.85
2026/06/01,2363000,30000,+1.29,5602897,412746,416807,4061,2983722,0.41,3530027,6.61
2026/05/29,2333000,44000,+1.92,8518013,580270,632227,51957,2994000,0.41,3490664,7.68
2026/05/28,2289000,46000,+2.05,6229499,360890,383106,22216,3053528,0.42,3460728,7.35
2026/05/27,2243000,191000,+9.31,7545783,283417,208934,74483,3072743,0.42,3463593,9.03
2026/05/26,2052000,111000,+5.72,4903591,530995,421377,109618,3001951,0.41,3345442,10.41
2026/05/22,1941000,1000,+0.05,3135190,479151,343889,135262,2896500,0.40,3205435,8.65
2026/05/21,1940000,195000,+11.17,5096690,303656,216043,87613,2763967,0.38,3043702,6.62
2026/05/20,1745000,0,0.00,5535123,428704,357966,70738,2678454,0.36,2892786,6.60
2026/05/19,1745000,95000,-5.16,4575855,475808,473443,2365,2615704,0.36,2745498,6.35
2026/05/18,1840000,21000,+1.15,6481608,299930,296414,3516,2620449,0.35,2683463,4.96
2026/05/15,1819000,151000,-7.66,7485233,412708,398208,14500,2618919,0.36,2618374,5.78
2026/05/14,1970000,6000,-0.30,6040068,634904,524494,110410,2611436,0.35,2586051,6.92
2026/05/13,1976000,141000,+7.68,7126921,434005,523692,89687,2506227,0.34,2302532,5.82
2026/05/12,1835000,45000,-2.39,9160593,334357,285806,48551,2605698,0.35,2346224,7.81
2026/05/11,1880000,194000,+11.51,7433039,383862,377546,6316,2560170,0.34,2253799,6.54
2026/05/08,1686000,32000,+1.93,4278087,382541,402753,20212,2556551,0.35,2193021,5.76
2026/05/07,1654000,53000,+3.31,5860618,420272,544276,124004,2581784,0.35,2151351,7.26
2026/05/06,1601000,154000,+10.64,6631934,187615,263335,75720,2712761,0.37,2269985,5.60
2026/05/04,1447000,161000,+12.52,5776641,238649,238456,193,2791338,0.38,2336611,7.94
2026/04/30,1286000,7000,-0.54,3342342,280172,351620,71448,2794034,0.38,2306080,9.32
2026/04/29,1293000,7000,-0.54,3001208,504473,543635,39162,2866611,0.39,2355485,11.05
2026/04/28,1300000,8000,+0.62,3002713,324172,283123,41049,2914017,0.40,2393255,10.35
2026/04/27,1292000,70000,+5.73,4563073,642117,710256,68139,2876467,0.39,2331235,12.00
2026/04/24,1222000,3000,-0.24,3127857,383584,386781,3197,2947725,0.41,2343597,13.24
2026/04/23,1225000,2000,+0.16,5343871,420314,498788,78474,2952484,0.41,2314529,11.94
2026/04/22,1223000,1000,-0.08,2894919,328852,384715,55863,3026835,0.41,2363303,8.76
2026/04/21,1224000,58000,+4.97,3516960,293857,212117,81740,3079647,0.43,2407078,8.20
2026/04/20,1166000,38000,+3.37,3748014,299220,296149,3071,2998902,0.41,2302617,10.31
2026/04/17,1128000,27000,-2.34,3578235,482407,476451,5956,2993703,0.41,2274120,11.77
2026/04/16,1155000,19000,+1.67,2901319,542386,580959,38573,2990409,0.41,2230533,11.39
2026/04/15,1136000,33000,+2.99,4093703,269625,297734,28109,3034519,0.41,2247963,9.72
2026/04/14,1103000,63000,+6.06,4754545,270746,279308,8562,3064628,0.42,2265623,8.62
2026/04/13,1040000,13000,+1.27,2769753,359511,287940,71571,3075522,0.42,2279281,7.14
2026/04/10,1027000,29000,+2.91,3134921,593875,623281,29406,3007848,0.41,2206772,8.85
2026/04/09,998000,35000,-3.39,5026817,469273,437639,31634,3044920,0.41,2223545,12.95
2026/04/08,1033000,117000,+12.77,6709356,388910,420784,31874,3010609,0.42,2179961,12.53
2026/04/07,916000,30000,+3.39,3619929,238767,317895,79128,3046572,0.41,2204092,8.15
2026/04/06,886000,10000,+1.14,3100989,568252,486103,82149,3127446,0.43,2267747,9.27
2026/04/03,876000,46000,+5.54,2927164,441130,499781,58651,3050028,0.42,2202042,7.05
2026/04/02,830000,63000,-7.05,6127534,581602,528935,52667,3113807,0.43,2249234,8.07
2026/04/01,893000,86000,+10.66,6255058,342770,261641,81129,3069538,0.43,2234615,7.61
2026/03/31,807000,66000,-7.56,7194351,404763,315886,88877,2991108,0.41,2172652,8.94
2026/03/30,873000,49000,-5.31,4498502,314272,387536,73264,2906984,0.39,2101525,6.73
2026/03/27,922000,11000,-1.18,4520942,343703,361223,17520,2985089,0.41,2134541,7.69
2026/03/26,933000,62000,-6.23,4660620,332285,360028,27743,3006192,0.41,2150843,7.63
2026/03/25,995000,9000,+0.91,4463869,340065,404976,64911,3036090,0.42,2179966,8.69
2026/03/24,986000,53000,+5.68,4352152,248162,207508,40654,3104400,0.42,2216931,7.23
2026/03/23,933000,74000,-7.35,3911813,384884,305203,79681,3064467,0.42,2175134,11.49
2026/03/20,1007000,6000,-0.59,3426646,327596,377193,49597,2988601,0.41,2104496,7.52
2026/03/19,1013000,43000,-4.07,3347483,388873,346212,42661,3038652,0.41,2149437,11.68
2026/03/18,1056000,86000,+8.87,4347884,336468,301927,34541,2998288,0.42,2102891,8.78
2026/03/17,970000,4000,-0.41,3326240,211624,203789,7835,2966330,0.41,2085948,5.79
2026/03/16,974000,64000,+7.03,3829496,346885,180735,166150,2962123,0.41,2081852,9.33
2026/03/13,910000,20000,-2.15,3645102,378446,375825,2621,2799235,0.38,1943533,9.65
2026/03/12,930000,25000,-2.62,3711742,380610,524478,143868,2800127,0.38,1937253,7.17
2026/03/11,955000,17000,+1.81,3916098,568365,477418,90947,2946790,0.41,2032766,7.82
2026/03/10,938000,102000,+12.20,5304897,325286,299718,25568,2863365,0.39,1987665,8.68
2026/03/09,836000,88000,-9.52,7253621,338386,529692,191306,2844315,0.39,1953598,5.25
2026/03/06,924000,17000,-1.81,3744322,848426,696688,151738,3040719,0.42,2099888,9.16
2026/03/05,941000,92000,+10.84,6442459,658246,615382,42864,2901039,0.40,2016699,9.64
2026/03/04,849000,90000,-9.58,9253420,646743,453736,193007,2861290,0.40,1927309,10.01
2026/03/03,939000,122000,-11.50,6818327,506063,533211,27148,2669943,0.37,1731532,11.33
